CONFINTL	CONFINTU	DIST	FIT	CONSUMPTION	LEV	COUNTRY	OUT	PDIST	POUT	PREDINTL	PREDINTU	RES	ILL	STDRES
32.928393	199.38006	0.0698498	116.15423	220	0.1912374	1	-0.749703	0.9330344	0.4749001	-91.56224	323.87070	-58.15423	58	-0.768637
43.138455	202.91692	0.0200092	123.02769	250	0.176211	2	-0.412103	0.9802331	0.6910847	-83.37454	329.42993	-33.02769	90	-0.432535
63.112035	210.43718	0.0069422	136.77461	310	0.1498132	3	-0.265813	0.9930872	0.7971046	-67.29834	340.84756	-21.77461	115	-0.280701
123.31913	241.87621	0.0089318	182.59767	510	0.0970178	4	-0.388035	0.9911168	0.7081114	-16.73505	381.93041	-32.59767	150	-0.407753
85.479178	220.14619	0.0017162	152.81268	380	0.1251754	5	0.1462183	0.9982856	0.8873664	-49.06201	354.68738	12.187314	165	0.1548811
107.99395	231.99871	0.0	169.99633	455	0.1061385	6	0.0000434	1.0	0.9999664	-30.16332	370.15599	0.0036643	170	0.0000461
238.75557	479.27740	2.2332043	359.01648	1280	0.3993056	7	-4.854433	0.1631016	0.0012647	133.88923	584.14374	-169.0164	190	-2.592109
109.43182	232.85199	0.0505972	171.14191	460	0.1051402	8	0.9201073	0.9509299	0.3844218	-28.92739	371.21122	73.858087	245	0.9280504
128.60873	245.75123	0.0322199	187.17998	530	0.0947165	9	0.7666085	0.9684048	0.4653323	-11.94355	386.30353	62.820014	250	0.7847959
222.88015	419.54476	0.0290855	321.21245	1115	0.2669616	10	0.3801933	0.9714243	0.7136974	106.99566	535.42925	28.787541	350	0.3996614
225.90231	430.26951	0.7536544	328.08591	1145	0.2882829	11	2.3747921	0.4981723	0.0449092	112.07415	544.09768	136.91408	465	1.9290587
