Year	Month	Sales	ObsNo
1970	1	129	1
1970	2	122	2
1970	3	137	3
1970	4	141	4
1970	5	145	5
1970	6	144	6
1970	7	143	7
1970	8	140	8
1970	9	140	9
1970	10	148	10
1970	11	138	11
1970	12	163	12
1971	1	122	13
1971	2	119	14
1971	3	136	15
1971	4	140	16
1971	5	141	17
1971	6	145	18
1971	7	143	19
1971	8	138	20
1971	9	140	21
1971	10	145	22
1971	11	144	23
1971	12	177	24
1972	1	131	25
1972	2	126	26
1972	3	146	27
1972	4	155	28
1972	5	153	29
1972	6	156	30
1972	7	153	31
1972	8	155	32
1972	9	158	33
1972	10	157	34
1972	11	158	35
1972	12	191	36
1973	1	137	37
1973	2	136	38
1973	3	155	39
1973	4	151	40
1973	5	161	41
1973	6	166	42
1973	7	154	43
1973	8	162	44
1973	9	156	45
1973	10	161	46
1973	11	165	47
1973	12	194	48
1974	1	147	49
1974	2	141	50
1974	3	159	51
1974	4	163	52
1974	5	172	53
1974	6	171	54
1974	7	169	55
1974	8	175	56
1974	9	164	57
1974	10	169	58
1974	11	171	59
1974	12	198	60
1975	1	153	61
1975	2	138	62
1975	3	155	63
1975	4	164	64
1975	5	174	65
1975	6	166	66
1975	7	166	67
1975	8	170	68
1975	9	163	69
1975	10	174	70
1975	11	170	71
1975	12	212	72
1976	1	163	73
1976	2	150	74
1976	3	170	75
1976	4	178	76
1976	5	186	77
1976	6	187	78
1976	7	183	79
1976	8	181	80
1976	9	176	81
1976	10	191	82
1976	11	176	83
1976	12	215	84
1977	1	163	85
1977	2	158	86
1977	3	176	87
1977	4	190	88
1977	5	185	89
1977	6	189	90
1977	7	181	91
1977	8	182	92
1977	9	178	93
1977	10	186	94
1977	11	184	95
1977	12	222	96
1978	1	158	97
1978	2	151	98
1978	3	177	99
1978	4	176	100
1978	5	185	101
1978	6	189	102
1978	7	179	103
1978	8	183	104
1978	9	182	105
1978	10	188	106
1978	11	192	107
1978	12	229	108
1979	1	170	109
1979	2	160	110
1979	3	192	111
1979	4	191	112
1979	5	202	113
1979	6	203	114
1979	7	191	115
1979	8	199	116
1979	9	189	117
1979	10	206	118
1979	11	209	119
1979	12	241	120
1980	1	183	121
1980	2	171	122
1980	3	197	123
1980	4	205	124
1980	5	212	125
1980	6	207	126
1980	7	205	127
1980	8	210	128
1980	9	193	129
1980	10	215	130
1980	11	215	131
1980	12	251	132
1981	1	196	133
1981	2	188	134
1981	3	205	135
1981	4	212	136
1981	5	225	137
1981	6	222	138
1981	7	221	139
1981	8	218	140
1981	9	213	141
1981	10	226	142
1981	11	217	143
1981	12	277	144
